Latitude,Longitude,Azimuth
12.9659,77.5846,180
12.9008,77.6744,180
13.0639,77.5886,180
12.93728,77.57356,180
12.9802,77.6074,180
12.976,77.6743,180
12.9198,77.645,180
12.9195,77.5534,180
13.0281,77.5187,180
12.9991,77.5784,180
12.85061,77.66397,180
12.9052,77.5647,180
12.9202,77.6815,180
12.9269,77.5478,180
13.0119,77.67239,180
12.9744,77.6346,180
12.92468,77.60215,180
13.0734,77.6346,180
12.9641,77.7272,180
12.9352,77.61895,180
12.9202,77.6855,180
12.9315,77.5163,180
13.0241,77.6043,180
12.9046,77.674,180
12.9008,77.6744,180
12.9138,77.563,180
12.9149,77.6358,180
12.9441,77.6076,180
12.8933,77.5884,180
12.9259,77.6771,180
12.9259,77.6771,180
12.85061,77.66397,180
12.98331,77.61678,180
12.942,77.6083,180
12.9187,77.634,180
13.0225,77.606,180
12.83302,77.69791,180
12.9525,77.7038,180
12.9494,77.5748,180
13.0336,77.561,180
13.0189,77.6661,180
12.9101,77.5228,180
13.0273,77.6088,180
12.9308,77.5359,180
12.8129,77.6803,180
12.9101,77.5227,180
12.9933,77.5598,180
13.0581,77.6231,180
12.9483,77.56295,180
12.9754,77.6542,180
12.918,77.5185,180
13.005,77.6546,180
12.9108,77.6522,180
12.8989,77.6669,180
13.0432,77.5003,180
12.9928,77.5678,180
12.9591,77.6444,180
13.0088,77.5494,180
12.9723,77.6543,180
12.9152,77.5866,180
12.9152,77.5866,180
12.9277,77.5793,180
13.0786,77.5566,180
12.94156,77.61658,180
13.017,77.591,180
12.9572,77.5808,180
12.9629,77.5184,180
12.9388,77.6188,180
12.99563,77.67303,180
12.9603,77.6432,180
12.94773,77.71541,180
12.8925,77.6207,180
12.9269,77.5852,180
12.9802,77.6563,180
12.9326,77.542,180
13.0069,77.695,180
13.00127,77.57961,180
13.0442,77.621,180
13.0676,77.5993,180
12.9863,77.5126,180
12.8946,77.4212,180
12.94896,77.57941,180
12.9909,77.6717,180
12.841,77.6498,180
12.9256,77.5747,180
12.9344,77.4911,180
13.0497,77.6018,180
13.0027,77.5651,180
13.0014,77.5583,180
12.8398,77.6454,180
12.9596,77.6446,180
12.9072,77.6433,180
12.9593,77.6497,180
12.90307,77.67942,180
12.949,77.6905,180
13.0381,77.569,180
12.9129,77.5747,180
12.9082,77.6867,180
12.958,77.5864,180
