Complaints,Minlat,Minlong,Maxlat,Maxlong
1,12.99912491,77.57028,13.00052801,77.57154
1,12.94685402,77.57028,12.94825741,77.57154
1,12.93352143,77.57028,12.9349249,77.57154
1,12.87456883,77.57028,12.87597263,77.57154
1,12.94422265,77.57154,12.94562605,77.57298
1,13.03788246,77.57298,13.03928533,77.57442
1,13.03665494,77.57298,13.03788246,77.57442
1,13.00438647,77.57298,13.00578954,77.57442
1,13.00315878,77.57298,13.00438647,77.57442
2,13.00052801,77.57298,13.00175571,77.57442
6,12.94299466,77.57298,12.94422265,77.57442
1,12.94018782,77.57298,12.94159124,77.57442
1,12.90808228,77.57298,12.90948589,77.57442
2,12.9054505,77.57298,12.90685412,77.57442
1,13.03262161,77.57442,13.03384915,77.57568
1,12.94299466,77.57442,12.94422265,77.57568
2,12.94159124,77.57442,12.94299466,77.57568
1,12.91071404,77.57442,12.91211763,77.57568
1,13.10486082,77.57568,13.106088,77.57712
1,13.03928533,77.57568,13.04051284,77.57712
1,13.03788246,77.57568,13.03928533,77.57712
1,13.03262161,77.57568,13.03384915,77.57712
1,12.93088992,77.57568,12.93211796,77.57712
1,12.91878459,77.57568,12.92018813,77.57712
22,12.89737952,77.57568,12.89878319,77.57712
1,13.09276398,77.57712,13.09416654,77.57856
1,13.03525205,77.57712,13.03665494,77.57856
1,13.0098233,77.57712,13.01122634,77.57856
1,12.99649409,77.57712,12.99772181,77.57856
4,12.97632352,77.57712,12.97772675,77.57856
1,12.95369547,77.57712,12.9549234,77.57856
1,12.95229211,77.57712,12.95369547,77.57856
1,12.94562605,77.57712,12.94685402,77.57856
1,12.93211796,77.57712,12.93352143,77.57856
2,12.92685487,77.57712,12.92825837,77.57856
1,12.91615291,77.57712,12.91755648,77.57856
1,12.890712,77.57712,12.8921157,77.57856
2,12.8866763,77.57712,12.88808003,77.57856
1,13.03928533,77.57856,13.04051284,77.57982
1,13.02858822,77.57856,13.02981578,77.57982
3,13.0098233,77.57856,13.01122634,77.57982
1,12.92281976,77.57856,12.92422329,77.57982
1,12.91352122,77.57856,12.91474935,77.57982
1,12.91211763,77.57856,12.91352122,77.57982
1,12.91071404,77.57856,12.91211763,77.57982
1,12.8921157,77.57856,12.89334394,77.57982
1,12.88930828,77.57856,12.890712,77.57982
2,13.00578954,77.57982,13.00719259,77.58126
1,12.99368785,77.57982,12.99509097,77.58126
1,12.99246011,77.57982,12.99368785,77.58126
1,12.98579512,77.57982,12.9870229,77.58126
1,12.96036131,77.57982,12.96158921,77.58126
1,12.93755637,77.57982,12.93895981,77.58126
1,12.92685487,77.57982,12.92825837,77.58126
1,12.92422329,77.57982,12.92545136,77.58126
1,12.89334394,77.57982,12.89474763,77.58126
